OptIndex Step X_0 X_1
6 0 -3.91186 -0.186583
6 1 -3.91186 -0.186583
6 2 -3.98864 -0.0368329
6 3 -3.98094 0.012194
6 4 -3.98186 0.00022339
6 5 -3.9796 2.4039e-05
6 6 -3.97978 1.44995e-05
6 7 -3.97978 1.46073e-07
6 8 -3.97978 9.31086e-10
6 9 -3.97978 -1.44595e-08
6 10 -3.97978 -1.50651e-08
6 11 -3.97978 -1.51028e-08
6 12 -3.97978 -1.51217e-08
6 13 -3.97978 -1.51312e-08
6 14 -3.97978 -1.51359e-08
6 15 -3.97978 -1.51383e-08
6 16 -3.97978 -1.51394e-08
6 17 -3.97978 -1.51397e-08
6 18 -3.97978 -1.51397e-08
6 19 -3.97978 -1.51397e-08
6 20 -3.97978 -1.51397e-08
6 21 -3.97978 -1.51397e-08
6 22 -3.97978 -1.51397e-08
6 23 -3.97978 -1.51397e-08
6 24 -3.97978 -1.51397e-08
6 25 -3.97978 -1.51397e-08
6 26 -3.97978 -1.51397e-08
6 27 -3.97978 -1.51397e-08
6 28 -3.97978 -1.51397e-08
6 29 -3.97978 -1.51397e-08
6 30 -3.97978 -1.51397e-08
6 31 -3.97978 -1.51397e-08
7 0 -0.954181 4.99767
7 1 -0.978978 4.97283
7 2 -0.988765 4.96855
7 3 -0.992936 4.96889
7 4 -0.994861 4.97161
7 5 -0.995129 4.97383
7 6 -0.995021 4.97467
7 7 -0.994992 4.97468
7 8 -0.994984 4.97469
7 9 -0.994984 4.97469
7 10 -0.994984 4.97469
7 11 -0.994984 4.97469
7 12 -0.994984 4.97469
7 13 -0.994984 4.97469
7 14 -0.994984 4.97469
7 15 -0.994984 4.97469
7 16 -0.994984 4.97469
7 17 -0.994984 4.97469
7 18 -0.994984 4.97469
7 19 -0.994984 4.97469
7 20 -0.994984 4.97469
7 21 -0.994984 4.97469
7 22 -0.994984 4.97469
7 23 -0.994984 4.97469
7 24 -0.994984 4.97469
7 25 -0.994984 4.97469
7 26 -0.994984 4.97469
7 27 -0.994984 4.97469
7 28 -0.994984 4.97469
7 29 -0.994984 4.97469
7 30 -0.994984 4.97469
