OptIndex Step X_0 X_1
0 0 -4.90717 -5.03112
0 1 -4.90717 -5.03112
0 2 1.9249 0.218968
0 3 1.9249 0.218968
1 0 -0.0122877 0.640635
1 1 -0.0224199 0.929184
1 2 -0.0454384 0.973842
1 3 -0.0454384 0.973842
2 0 -0.0243084 -3.05771
2 1 -0.0243084 -3.05771
2 2 -0.0243084 -3.05771
2 3 -0.0191094 -3.05895
3 0 5.00349 -2.99174
3 1 4.94665 -0.187218
3 2 4.94665 -0.187218
3 3 4.94665 -0.187218
4 0 5.00804 -3.92715
4 1 5.02206 -3.97319
4 2 5.02206 -3.97319
4 3 5.02206 -3.97319
5 0 3.06759 -0.0776758
5 1 3.00175 -0.0855874
5 2 3.00042 0.0325296
5 3 2.9883 -0.00307497
6 0 -3.91186 -0.186583
6 1 -3.91186 -0.186583
6 2 -3.98864 -0.0368329
6 3 -3.98094 0.012194
7 0 -0.954181 4.99767
7 1 -0.978978 4.97283
7 2 -0.988765 4.96855
7 3 -0.992936 4.96889
8 0 2.01674 0.0323446
8 1 1.99087 0.0131702
8 2 1.99527 0.0047736
8 3 1.99527 0.0047736
9 0 0.538941 -1.94906
9 1 0.953551 -1.90629
9 2 0.953551 -1.90629
9 3 0.953551 -1.90629
10 0 -1.1238 -1.16563
10 1 -0.975561 -1.18947
10 2 -1.0494 -1.16344
10 3 -1.10159 -1.04418
11 0 -3.16722 0.142635
11 1 -3.0197 0.181986
11 2 -3.0197 0.181986
11 3 -3.0197 0.181986
12 0 -4.99137 1.99829
12 1 -4.99129 1.99142
12 2 -4.98812 1.99691
12 3 -4.97866 1.98591
13 0 3.20762 3.94418
13 1 3.20762 3.94418
13 2 3.20954 3.97686
13 3 3.20301 3.95661
14 0 0.968238 -0.307102
14 1 0.939156 -0.0710832
14 2 0.939156 -0.0710832
14 3 0.992208 -0.0721944
15 0 3.20493 1.78124
15 1 3.20911 1.94799
15 2 3.20911 1.94799
15 3 3.20911 1.94799
16 0 3.57593 -2.93196
16 1 4.19467 -2.83768
16 2 4.17993 -2.99367
16 3 4.02689 -2.97453
17 0 1.02544 1.94117
17 1 1.03763 1.95523
17 2 1.04168 1.96149
17 3 1.04168 1.96149
18 0 2.02436 -1.03933
18 1 2.00885 -1.04485
18 2 1.99985 -1.00457
18 3 1.99985 -1.00457
19 0 -2.96743 3.01031
19 1 -2.96743 3.01031
19 2 -2.96743 3.01031
19 3 -2.96743 3.01031
