fun	N	idx	status	bfgs_iter	pso_iter	time	error	fval	norm		coord_0	coord_1	coord_2	coord_3	coord_4	coord_5	coord_6	coord_7	coord_8	coord_9
ackley	131072	29523	0	0	10	408.794	2.676813e-01	6.778244e-01	3.513604e+00	5.713984e-02	-4.233657e-03	-9.043610e-02	5.379180e-03	9.814516e-02	3.990216e-02	3.363842e-02	-8.342852e-02	1.263940e-01	-1.577048e-01
rosenbrock	131072	95249	0	0	30	563.681	2.484432e+00	5.582383e+00	1.149624e+01	8.764001e-01	7.788175e-01	6.013501e-01	3.606487e-01	1.129562e-01	2.527400e-02	3.750151e-03	3.673084e-02	3.405367e-02	2.525941e-02
rastrigin	131072	27077	0	0	30	412.301	1.426163e+00	2.545298e+00	2.091903e+01	1.123121e-02	1.004629e+00	-2.901992e-02	-5.420121e-03	5.067968e-03	-1.011043e+00	3.300795e-02	-7.483008e-04	-5.765894e-03	1.752596e-02
ackley	131072	49135	0	0	30	1229.84	1.684119e-02	2.281236e-02	1.444114e+00	3.230528e-03	9.164551e-03	5.256930e-03	-6.633451e-03	1.367713e-03	-1.671223e-03	9.621578e-03	3.956217e-03	1.162151e-03	-1.822581e-03
rosenbrock	131072	27964	0	0	0	27.8203	4.570560e+00	1.164964e+03	1.650416e+03	7.458599e-01	-5.475493e-01	1.163348e+00	7.396055e-01	1.200287e+00	5.761572e-01	1.039847e-01	-6.651152e-01	1.497190e+00	4.780692e+00
rastrigin	131072	59250	0	0	0	22.5658	5.889048e+00	6.284585e+01	1.210454e+02	9.520469e-01	-2.818569e+00	-2.122851e+00	-1.803675e+00	1.987446e+00	-2.036919e+00	2.251927e+00	1.062183e+00	-5.172947e-02	-1.941482e+00
ackley	131072	48376	0	0	0	66.3988	2.419086e+00	4.907828e+00	1.270392e+00	-3.399008e-01	1.498400e+00	-6.010754e-01	5.781125e-01	-2.616880e-01	-4.645353e-01	-4.659356e-01	6.939953e-01	8.091487e-01	-1.076110e+00
rosenbrock	131072	74560	0	0	1	38.2524	2.979329e+00	1.551063e+02	3.168005e+02	9.648134e-01	6.723500e-01	2.937717e-01	-6.292526e-01	5.029647e-01	-9.403630e-03	-6.096173e-01	4.086946e-02	5.448055e-01	2.058698e-01
rastrigin	131072	53860	0	0	1	42.3811	3.820493e+00	3.707657e+01	1.142797e+02	1.856782e+00	1.945304e+00	-9.092834e-01	2.010664e+00	1.930830e-03	-1.524294e-01	-8.171781e-01	-4.950068e-02	-8.284442e-01	1.055921e+00
ackley	131072	118247	0	0	1	57.4439	9.317329e-01	2.412226e+00	2.496799e+00	2.666966e-03	-9.967923e-02	-4.158482e-01	1.106642e-01	-5.727970e-02	1.718727e-01	2.820903e-01	2.449518e-02	-7.089283e-01	-2.396483e-01
rosenbrock	131072	78363	0	0	2	43.9087	2.505506e+00	1.478438e+02	2.729713e+02	1.450679e-01	4.960097e-01	5.449350e-01	6.415044e-01	4.566669e-01	-5.455104e-01	9.700614e-02	-2.496390e-02	5.869223e-01	5.135359e-01
rastrigin	131072	60634	0	0	2	134.734	2.905114e+00	3.259420e+01	7.895355e+01	9.394829e-01	1.023967e+00	-1.152973e+00	-2.263151e-04	2.769588e-02	-1.968032e+00	-4.739165e-03	-6.895019e-02	-6.161750e-01	9.596052e-01
ackley	131072	103192	0	0	2	49.3166	1.002393e+00	2.438933e+00	2.218324e+00	6.708257e-02	6.147164e-02	6.104659e-01	-1.096233e-02	-9.609963e-03	-1.304986e-01	2.397507e-01	2.490879e-01	-6.856165e-01	1.304117e-01
rosenbrock	131072	37868	0	0	3	50.6105	2.812524e+00	5.364304e+01	1.738693e+02	4.674517e-01	2.377007e-02	-1.449535e-01	5.121410e-02	2.778825e-01	-1.683461e-02	-2.203921e-02	4.733179e-01	1.041334e-02	2.216037e-01
