himmelblau	1	0.0012939480	3.06549692153930664	144.4237670898	0.2212497,0.70546615
goldstein	1	0.0013427700	1.96351337432861328	5022.2783203125	0.534989,0.8892251
himmelblau	1	0.0012937980	3.14117240905761719	138.5593872070	0.047935605,0.92655694
goldstein	1	0.0013422440	1.63763487339019775	4803.3491210938	0.1731695,0.6284534
himmelblau	1	0.0012906720	2.41493964195251465	117.5937576294	0.8942168,0.8177943
goldstein	1	0.0013417280	1.37475121021270752	1789.1781005859	0.08854878,0.3718965
himmelblau	1	0.0012924650	3.09425330162048340	151.6650695801	0.34385931,0.4127637
goldstein	1	0.0013435510	1.44900357723236084	1944.0938720703	0.18085957,0.43767214
himmelblau	1	0.0012823660	2.55200099945068359	121.1662139893	0.66781783,0.9638363
goldstein	1	0.0013327310	1.89811813831329346	898.9954223633	0.95571876,0.6399555
rosenbrock	1	0.0013023940	0.60516077280044556	71.4984741211	0.39483964,0.99929774
himmelblau	1	0.0012958920	3.16192221641540527	137.4141693115	0.012578368,0.96411145
goldstein	1	0.0013456105	1.18035924434661865	907.9627075195	0.3358643,0.13156664
himmelblau	1	0.0012923450	3.56807899475097656	168.4432983398	0.00035965443,0.067813635
goldstein	1	0.0013421535	1.35893070697784424	1077.4366455078	0.82555676,0.07942057
himmelblau	1	0.0012903360	3.33607602119445801	154.6497344971	0.004457116,0.53162503
goldstein	1	0.0013413425	1.30626189708709717	1124.8795166016	0.6368673,0.14049125
rastrigin	1	0.0013072780	0.93004459142684937	30.4636192322	0.5533277,0.7475369
rosenbrock	1	0.0013139350	0.97444605827331543	85.4775314331	0.97489214,0.025877476
himmelblau	1	0.0012849210	2.99177575111389160	148.9129333496	0.6364434,0.16579092
goldstein	1	0.0013335020	1.10757923126220703	946.0875854492	0.3643334,0.045941114
rastrigin	1	0.0013000690	1.22788667678833008	11.7505578995	0.7483362,0.9734981
ackley	1	0.0013314935	0.80617529153823853	2.9140768051	0.0049453974,0.8061601
rosenbrock	1	0.0013023090	1.20519840717315674	6.1885948181	0.06843376,0.23535132
