8	0.020592	5.874642	0.8346895,0.6976804,0.4836216,0.2258906,0.060977943,0.008000806,-0.0064625796,0.008938219,0.018665405,0.0012525975
32	0.021331	2.535833	0.9771266,0.95621604,0.91601956,0.8609335,0.7543433,0.57396334,0.33215508,0.1186494,0.017594747,-0.0018059016
128	0.023940	0.161846	0.9983363,0.9967047,0.9933629,0.98720163,0.97478926,0.94772214,0.9008729,0.81498224,0.6673033,0.44495633
512	0.038674	0.368996	0.997745,0.9933006,0.98774487,0.9739132,0.95183617,0.9170434,0.84677106,0.7182228,0.5142211,0.25988618
2048	0.059179	0.136303	0.99696505,0.9965112,0.9945052,0.9877132,0.9767094,0.9548877,0.91121423,0.83072114,0.69242424,0.4817328
8192	0.059196	0.190387	0.99828696,0.996313,0.99214,0.98516566,0.9721966,0.94365585,0.89115053,0.7978998,0.6379771,0.40574822
32768	0.059958	0.023806	0.9993552,0.99883544,0.9979575,0.9953099,0.99105155,0.98280406,0.96572965,0.9319585,0.8680264,0.7532794
131072	0.154074	0.000176	0.99988717,0.9998264,0.9997942,0.9995922,0.99928015,0.9985502,0.9970978,0.99431694,0.98870784,0.97750425
524288	0.433263	0.000048	0.9999527,0.99992514,0.9998948,0.9997918,0.9996018,0.9992291,0.9984813,0.9970119,0.9940745,0.9881813
