OptIndex Step X_0 X_1
13 11 2.98427 3.97869
13 12 2.98432 3.97879
13 13 2.98433 3.97887
13 14 2.98424 3.97892
14 0 -0.00894748 -0.261094
14 1 0.0783302 -0.0333003
14 2 0.0784118 -0.00997397
14 3 0.0322215 -0.0352198
14 4 0.0322215 -0.0352198
14 5 0.0322215 -0.0352198
14 6 0.0322215 -0.0352198
14 7 0.0322215 -0.0352198
14 8 0.0322215 -0.0352198
14 9 0.0322215 -0.0352198
14 10 0.0322215 -0.0352198
14 11 0.0322215 -0.0352198
14 12 0.0322215 -0.0352198
14 13 0.0322215 -0.0352198
14 14 0.0322215 -0.0352198
15 0 3.00718 1.61097
15 1 2.99993 1.9874
15 2 2.98827 1.97083
15 3 2.98202 1.98203
15 4 2.97404 1.98652
15 5 2.97194 1.98555
15 6 2.9722 1.98451
15 7 2.97364 1.98226
15 8 2.97309 1.98214
15 9 2.97314 1.98215
15 10 2.97314 1.98214
15 11 2.97314 1.98214
15 12 2.97314 1.98214
15 13 2.97314 1.98214
15 14 2.97314 1.98214
16 0 3.08369 -0.0456111
16 1 3.08369 -0.0456111
16 2 3.08369 -0.0456111
16 3 3.08369 -0.0456111
16 4 3.08369 -0.0456111
16 5 3.08369 -0.0456111
16 6 3.08369 -0.0456111
16 7 3.08369 -0.0456111
16 8 3.08369 -0.0456111
16 9 3.08369 -0.0456111
16 10 0.420718 -0.251083
16 11 0.0377145 -0.243888
16 12 0.0377145 -0.243888
16 13 0.0377145 -0.243888
16 14 0.0377145 -0.243888
17 0 -0.0610208 1.06151
17 1 -0.186484 0.0531089
17 2 -0.165952 -0.03293
17 3 0.0115207 -0.0294421
17 4 0.00257125 0.00949269
17 5 -0.0022559 0.00505382
17 6 -0.00356189 0.00330082
17 7 -0.0037389 0.00252087
17 8 -0.00175447 -0.00096865
17 9 6.98421e-05 -0.000992604
17 10 2.97989e-05 -0.000192868
17 11 5.2718e-06 3.64415e-05
17 12 1.11503e-06 6.47271e-06
17 13 1.11503e-06 6.47271e-06
17 14 1.11503e-06 6.47271e-06
18 0 1.95349 -0.975291
18 1 1.96301 -0.974106
18 2 1.96488 -0.982498
18 3 1.9647 -0.982496
18 4 1.96462 -0.982417
18 5 1.96462 -0.982416
18 6 1.96462 -0.982416
18 7 1.96462 -0.982416
18 8 1.96462 -0.982416
18 9 1.96462 -0.982416
18 10 1.96462 -0.982416
18 11 1.96462 -0.982416
18 12 1.96462 -0.982416
18 13 1.96462 -0.982416
18 14 1.96462 -0.982416
19 0 -2.99959 2.93088
19 1 -2.99959 2.93088
19 2 -2.99959 2.93088
19 3 -2.99959 2.93088
19 4 -2.99959 2.93088
19 5 -2.99959 2.93088
19 6 -2.99959 2.93088
19 7 -2.96219 2.94099
19 8 -2.96741 2.97129
19 9 -2.98301 2.97931
19 10 -2.9794 2.97871
19 11 -2.97922 2.97925
19 12 -2.97923 2.97923
19 13 -2.97923 2.97923
19 14 -2.97922 2.97922
20 0 -1.93682 -2.97501
20 1 -1.95831 -2.95516
20 2 -1.95936 -2.97685
20 3 -1.9762 -2.97105
20 4 -1.98269 -2.97117
20 5 -1.98214 -2.97296
20 6 -1.98211 -2.97313
20 7 -1.98214 -2.97314
20 8 -1.98214 -2.97314
20 9 -1.98214 -2.97314
20 10 -1.98214 -2.97314
20 11 -1.98214 -2.97314
20 12 -1.98214 -2.97314
20 13 -1.98214 -2.97314
20 14 -1.98214 -2.97314
21 0 1.81778 -0.0305436
21 1 1.81778 -0.0305436
21 2 1.81778 -0.0305436
21 3 1.81661 -0.00970799
21 4 1.05366 -1.20178
21 5 1.14151 -1.05938
21 6 1.09435 -0.904076
21 7 1.0014 -0.87738
21 8 0.309255 -0.162266
21 9 0.235091 -0.23868
21 10 0.213183 -0.231807
21 11 0.213183 -0.231807
21 12 0.213183 -0.231807
21 13 0.0113489 -0.230531
21 14 0.0180249 -0.229903
22 0 -1.48537 1.8938
22 1 -0.886997 2.2557
22 2 -0.961166 2.00039
22 3 -0.999529 1.96342
22 4 -0.990381 1.97298
22 5 -0.990563 1.97278
22 6 -0.990671 1.97261
22 7 -0.990784 1.97007
22 8 -0.983154 1.96475
22 9 -0.982476 1.96455
22 10 -0.982417 1.96461
22 11 -0.982411 1.96461
22 12 -0.982411 1.96461
22 13 -0.982411 1.96461
22 14 -0.982411 1.96461
23 0 -2.0023 4.61618
23 1 -1.96353 5.13463
23 2 -2.03881 5.03241
23 3 -2.03881 5.03241
23 4 -2.03881 5.03241
23 5 -2.03881 5.03241
23 6 -2.03881 5.03241
23 7 -2.03881 5.03241
23 8 -2.03881 5.03241
23 9 -2.03881 5.03241
23 10 -2.03881 5.03241
23 11 -2.03881 5.03241
23 12 -2.03881 5.03241
23 13 -2.03881 5.03241
23 14 -2.03881 5.03241
24 0 3.99014 2.90362
24 1 3.99014 2.90362
24 2 3.99014 2.90362
24 3 3.99014 2.90362
24 4 3.99014 2.90362
24 5 3.99014 2.90362
24 6 3.99014 2.90362
24 7 4.02438 2.94005
24 8 3.98445 2.99603
24 9 3.98445 2.99603
24 10 3.98445 2.99603
24 11 3.98445 2.99603
24 12 3.98445 2.99603
24 13 3.98445 2.99603
24 14 3.98445 2.99603
25 0 -4.97881 -3.0033
25 1 -4.974 -3.00128
25 2 -4.97847 -2.9968
25 3 -4.98072 -2.99052
25 4 -4.98062 -2.98829
25 5 -4.9802 -2.98799
25 6 -4.98005 -2.98786
25 7 -4.98006 -2.98788
25 8 -4.98007 -2.98793
25 9 -4.98002 -2.98798
25 10 -4.97996 -2.98799
25 11 -4.97996 -2.988
25 12 -4.97996 -2.988
25 13 -4.97996 -2.988
25 14 -4.97996 -2.988
26 0 -4.66428 0.105194
26 1 -4.86547 0.1617
26 2 -4.86547 0.1617
26 3 -4.86547 0.1617
26 4 -4.86547 0.1617
26 5 -4.86547 0.1617
26 6 -4.86547 0.1617
26 7 -4.86547 0.1617
26 8 -4.8465 0.0481965
26 9 -4.8465 0.0481965
26 10 -4.8465 0.0481965
26 11 -4.8465 0.0481965
26 12 -4.8465 0.0481965
26 13 -4.8465 0.0481965
26 14 -4.92895 -0.00438945
27 0 -3.01729 0.914213
27 1 -3.01729 0.914213
27 2 -2.95089 0.991351
27 3 -2.95724 0.998121
27 4 -2.95864 0.999259
27 5 -2.95864 0.999259
27 6 -2.95864 0.999259
27 7 -2.95864 0.999259
27 8 -2.95864 0.999259
27 9 -2.95864 0.999259
27 10 -2.95864 0.999259
27 11 -2.95864 0.999259
27 12 -2.95864 0.999259
27 13 -2.95864 0.999259
27 14 -2.95864 0.999259
28 0 -0.875068 0.676186
28 1 -0.878429 0.901761
28 2 -0.878429 0.901761
28 3 -0.878429 0.901761
28 4 -0.878429 0.901761
28 5 -0.905029 1.01156
28 6 -0.905029 1.01156
28 7 -0.905029 1.01156
28 8 -0.905029 1.01156
28 9 -0.905029 1.01156
28 10 -0.964535 0.950598
28 11 -0.0378627 0.148668
28 12 -0.0378627 0.148668
28 13 -0.0378627 0.148668
28 14 -0.0378627 0.148668
29 0 -1.78869 0.341157
29 1 -1.95236 -0.163576
29 2 -1.14907 0.0612901
29 3 -1.14907 0.0612901
29 4 -1.14907 0.0612901
29 5 -1.14907 0.0612901
29 6 -1.14907 0.0612901
29 7 -1.14907 0.0612901
29 8 -1.14907 0.0612901
29 9 -1.14907 0.0612901
29 10 -1.14907 0.0612901
29 11 -1.14907 0.0612901
29 12 -1.14907 0.0612901
29 13 -1.14907 0.0612901
29 14 -1.14907 0.0612901
30 0 0.151403 -0.989933
30 1 -0.0099573 -0.979254
30 2 -0.0099573 -0.979254
30 3 -0.0180374 -0.971822
30 4 -0.0190384 -0.970657
30 5 -0.0190384 -0.970657
30 6 -0.0190384 -0.970657
30 7 -0.0190384 -0.970657
30 8 -0.0190384 -0.970657
30 9 -0.0190384 -0.970657
30 10 -0.0190384 -0.970657
30 11 -0.0190384 -0.970657
30 12 -0.0190384 -0.970657
30 13 -0.0190384 -0.970657
30 14 -0.0190384 -0.970657
31 0 3.78079 1.12182
31 1 3.7994 0.91392
31 2 3.97733 0.876942
31 3 4.04349 0.97678
31 4 3.98576 0.949946
31 5 3.9798 0.969169
31 6 3.96633 0.991461
31 7 3.97084 0.993236
31 8 3.9708 0.992911
31 9 3.9709 0.992768
31 10 3.97092 0.992768
31 11 3.97092 0.992767
31 12 3.97092 0.992767
31 13 3.97092 0.992767
31 14 3.97092 0.992767
32 0 -0.590053 -0.0918261
32 1 -0.575396 0.00688264
32 2 -0.077334 0.174207
32 3 -0.077334 0.174207
32 4 -0.0360071 0.187693
32 5 -0.0360071 0.187693
32 6 -0.0360071 0.187693
32 7 -0.0360071 0.187693
32 8 -0.0360071 0.187693
32 9 -0.0360071 0.187693
32 10 -0.0360071 0.187693
32 11 -0.0360071 0.187693
32 12 -0.122961 0.11794
32 13 -0.0550326 -0.062195
32 14 -0.0550326 -0.062195
33 0 3.92626 -3.98177
33 1 3.99141 -3.96574
33 2 3.99249 -3.98548
33 3 3.99249 -3.98548
33 4 3.99249 -3.98548
33 5 3.99249 -3.98548
33 6 3.99249 -3.98548
33 7 3.99249 -3.98548
33 8 3.99249 -3.98548
33 9 3.99249 -3.98548
33 10 3.99249 -3.98548
33 11 3.99249 -3.98548
33 12 3.99249 -3.98548
33 13 3.99249 -3.98548
33 14 3.99249 -3.98548
34 0 2.88202 -4.01899
34 1 2.95228 -4.03887
34 2 2.987 -4.02436
34 3 2.97764 -3.99415
34 4 2.97674 -3.97713
34 5 2.97851 -3.97878
34 6 2.98208 -3.97902
34 7 2.98422 -3.97904
34 8 2.98421 -3.97892
34 9 2.98421 -3.97892
34 10 2.98421 -3.97892
34 11 2.98421 -3.97892
34 12 2.98421 -3.97892
34 13 2.98421 -3.97892
34 14 2.98421 -3.97892
35 0 -2.93587 0.0341095
35 1 -2.94404 0.0381937
35 2 -2.94404 0.0381937
35 3 -2.94404 0.0381937
35 4 -2.94404 0.0381937
35 5 -2.96905 0.0329656
35 6 -2.96813 0.00167793
35 7 -2.9641 3.35379e-05
35 8 -2.96459 8.7918e-05
35 9 -2.96462 5.5371e-06
35 10 -2.96462 1.46837e-06
35 11 -2.96462 4.09542e-07
35 12 -2.96462 -1.17284e-07
35 13 -2.96462 -1.26738e-07
35 14 -2.96462 -1.53128e-08
36 0 3.96644 -3.01313
36 1 3.99057 -3.00224
36 2 3.99437 -2.99767
36 3 3.99601 -2.99503
36 4 3.99407 -2.99375
36 5 3.98316 -2.98503
36 6 3.97903 -2.98358
36 7 3.97885 -2.98398
36 8 3.97879 -2.98414
36 9 3.97884 -2.98418
36 10 3.97892 -2.98421
36 11 3.97892 -2.98422
36 12 3.97892 -2.98421
36 13 3.97892 -2.98421
36 14 3.97892 -2.98421
37 0 0.675076 0.357199
37 1 0.0269311 -0.463516
37 2 0.112035 -0.0739593
37 3 0.112035 -0.0739593
37 4 0.112035 -0.0739593
37 5 0.112035 -0.0739593
37 6 0.112035 -0.0739593
37 7 0.112035 -0.0739593
37 8 0.112035 -0.0739593
37 9 0.112035 -0.0739593
37 10 0.112035 -0.0739593
37 11 0.112035 -0.0739593
37 12 0.112035 -0.0739593
37 13 0.112035 -0.0739593
37 14 0.112035 -0.0739593
38 0 -5.02499 2.01582
38 1 -4.99885 2.0316
38 2 -5.00118 1.98988
38 3 -5.00118 1.98988
38 4 -5.00118 1.98988
38 5 -5.00118 1.98988
38 6 -5.00118 1.98988
38 7 -5.00118 1.98988
38 8 -5.00118 1.98988
38 9 -5.00118 1.98988
38 10 -5.00118 1.98988
38 11 -5.00118 1.98988
38 12 -5.00118 1.98988
38 13 -5.00118 1.98988
38 14 -5.00118 1.98988
39 0 -0.976728 2.01233
39 1 -0.997038 2.00605
39 2 -1.00022 1.97351
39 3 -0.997072 1.96373
39 4 -0.990731 1.96503
39 5 -0.982862 1.96668
39 6 -0.982558 1.96506
39 7 -0.982347 1.96463
39 8 -0.982423 1.96461
39 9 -0.982416 1.96462
39 10 -0.982417 1.96462
39 11 -0.982417 1.96462
39 12 -0.982417 1.96462
39 13 -0.982417 1.96462
39 14 -0.982417 1.96462
40 0 -0.00182447 0.214105
40 1 -0.0895193 0.119627
40 2 -0.0895193 0.119627
40 3 -0.0545018 0.109204
40 4 0.0317262 0.0857515
40 5 0.0317262 0.0857515
40 6 0.0317262 0.0857515
40 7 0.0317262 0.0857515
40 8 0.0317262 0.0857515
40 9 0.0317262 0.0857515
40 10 0.0317262 0.0857515
40 11 0.0317262 0.0857515
40 12 0.0317262 0.0857515
40 13 0.0317262 0.0857515
40 14 0.0317262 0.0857515
41 0 -3.97822 2.96737
41 1 -3.96865 2.98104
41 2 -3.97727 2.98112
41 3 -3.97897 2.98224
