OptIndex Step X_0 X_1
14 1 3.32587 2.00928
14 2 3.32587 2.00928
14 3 3.31759 1.69717
14 4 3.31481 1.78729
14 5 3.31308 1.75159
14 6 3.31046 1.81682
14 7 3.30346 1.72975
14 8 3.29485 1.88256
14 9 3.26733 1.69941
14 10 3.24734 1.95873
14 11 3.15762 1.69633
14 12 3.15173 1.98747
14 13 3.06886 1.88303
14 14 3.06793 1.8829
15 0 3.12588 1.80694
15 1 3.13854 1.86488
15 2 3.13918 1.91406
15 3 3.13884 1.90522
15 4 3.13748 1.93505
15 5 3.12942 1.88224
15 6 3.12623 1.92978
15 7 3.04745 1.85291
15 8 3.06659 1.87322
15 9 3.06659 1.87322
15 10 3.06659 1.87322
15 11 3.06659 1.87322
15 12 3.06659 1.87322
15 13 3.06659 1.87322
15 14 3.06659 1.87322
16 0 3.69623 -1.80882
16 1 3.6137 -1.78848
16 2 3.58599 -1.80223
16 3 3.57715 -1.81556
16 4 3.57487 -1.81791
16 5 3.57487 -1.81791
16 6 3.57487 -1.81791
16 7 3.57487 -1.81791
16 8 3.57487 -1.81791
16 9 3.57487 -1.81791
16 10 3.57487 -1.81791
16 11 3.57487 -1.81791
16 12 3.57487 -1.81791
16 13 3.57487 -1.81791
16 14 3.57487 -1.81791
17 0 2.52263 2.89885
17 1 2.32768 2.76962
17 2 2.60633 2.80102
17 3 3.01941 2.35657
17 4 2.95236 2.11694
17 5 2.94521 2.06778
17 6 2.96214 2.03024
17 7 3.00598 2.00795
17 8 2.99957 1.99761
17 9 3.00059 1.9983
17 10 3.00072 1.99852
17 11 3.00088 1.99879
17 12 3.00084 1.99885
17 13 3 1.99976
17 14 2.99998 2.00006
18 0 4.14603 -0.780245
18 1 4.07381 -1.88209
18 2 4.07381 -1.88209
18 3 4.06652 -2.00259
18 4 4.04195 -1.7802
18 5 3.57495 -1.11071
18 6 3.64419 -1.65028
18 7 3.6617 -1.79388
18 8 3.6617 -1.79388
18 9 3.66566 -1.82629
18 10 3.66566 -1.82629
18 11 3.66574 -1.86693
18 12 3.66574 -1.86693
18 13 3.66376 -1.88596
18 14 3.6106 -1.83267
19 0 -2.79595 3.14364
19 1 -2.79562 3.1307
19 2 -2.79562 3.1307
19 3 -2.80517 3.13134
19 4 -2.80512 3.13131
19 5 -2.80512 3.13131
19 6 -2.80512 3.13131
19 7 -2.80512 3.13131
19 8 -2.80512 3.13131
19 9 -2.80512 3.13131
19 10 -2.80512 3.13131
19 11 -2.80512 3.13131
19 12 0 0
19 13 0 0
19 14 0 0
20 0 -3.57232 -2.81565
20 1 -3.58552 -3.2697
20 2 -3.58552 -3.2697
20 3 -3.70805 -3.39192
20 4 -3.70718 -3.39111
20 5 -3.70852 -3.3898
20 6 -3.7648 -3.31475
20 7 -3.7841 -3.29006
20 8 -3.7794 -3.28355
20 9 -3.77919 -3.2833
20 10 -3.7792 -3.28331
20 11 -3.77924 -3.28333
20 12 -3.77929 -3.28329
20 13 -3.77931 -3.28321
20 14 -3.77932 -3.28319
21 0 4.03176 -0.310751
21 1 3.90769 -1.93726
21 2 3.9076 -1.92322
21 3 3.90235 -1.99854
21 4 3.86746 -1.73208
21 5 3.70887 -1.5051
21 6 3.6478 -1.74807
21 7 3.61225 -1.70986
21 8 3.59596 -1.8145
21 9 3.58587 -1.83096
21 10 3.57982 -1.83514
21 11 3.58128 -1.83504
21 12 3.5837 -1.83721
21 13 3.58542 -1.83957
21 14 3.58644 -1.84113
22 0 -3.05553 3.29992
22 1 -2.95309 3.34863
22 2 -2.94848 3.17752
22 3 -2.94848 3.17752
22 4 -2.814 3.14198
22 5 -2.80699 3.13176
22 6 -2.8049 3.13111
22 7 -2.80508 3.1313
22 8 -2.80512 3.13132
22 9 -2.80512 3.13131
22 10 -2.80512 3.13131
22 11 -2.80512 3.13131
22 12 -2.80512 3.13131
22 13 -2.80512 3.13131
22 14 -2.80512 3.13131
23 0 -2.48378 2.904
23 1 -2.90359 2.94486
23 2 -2.76024 2.9865
23 3 -2.78251 3.04204
23 4 -2.82125 3.12985
23 5 -2.80098 3.13086
23 6 -2.80506 3.13102
23 7 -2.80512 3.1313
23 8 -2.80512 3.13131
23 9 -2.80512 3.13131
23 10 -2.80512 3.13131
23 11 -2.80512 3.13131
23 12 -2.80512 3.13131
23 13 0 0
23 14 0 0
24 0 3.01178 2.25342
24 1 3.01769 2.0229
24 2 3.01769 2.0229
24 3 3.02089 1.99955
24 4 3.02089 1.99955
24 5 3.02084 1.98957
24 6 3.01477 2.0026
24 7 3.0066 1.99452
24 8 3.00439 1.99231
24 9 3.00439 1.99231
24 10 3.00446 1.99239
24 11 3.00446 1.99239
24 12 3.00446 1.99239
24 13 3.00446 1.99239
24 14 3.00446 1.99239
25 0 -3.34985 -3.28577
25 1 -3.37731 -3.13696
25 2 -3.38591 -3.22386
25 3 -3.42229 -3.31174
25 4 -3.72994 -3.2359
25 5 -3.79178 -3.26273
25 6 -3.77995 -3.2758
25 7 -3.77875 -3.28286
25 8 -3.77938 -3.28336
25 9 -3.77928 -3.28325
25 10 -3.77927 -3.28324
25 11 -3.77927 -3.28324
25 12 -3.77927 -3.28324
25 13 -3.77927 -3.28324
25 14 -3.77927 -3.28324
26 0 -2.97128 -0.716429
26 1 -2.98614 -3.85512
26 2 -2.98614 -3.85512
26 3 -2.98614 -3.85512
26 4 -2.98614 -3.85512
26 5 -3.19098 -3.48037
26 6 -3.85498 -3.34776
26 7 -3.7738 -3.33197
26 8 -3.7797 -3.30377
26 9 -3.78662 -3.28725
26 10 -3.77888 -3.28227
26 11 -3.77942 -3.28295
26 12 -3.77947 -3.28303
26 13 -3.77947 -3.28306
26 14 -3.77932 -3.28308
27 0 -3.37691 2.23309
27 1 -3.85617 -3.37316
27 2 -3.85617 -3.37316
27 3 -3.85617 -3.37316
27 4 -3.85617 -3.37316
27 5 -3.85617 -3.37316
27 6 -3.85617 -3.37316
27 7 -3.85617 -3.37316
27 8 -3.85617 -3.37316
27 9 -3.85617 -3.37316
27 10 -3.85617 -3.37316
27 11 -3.85617 -3.37316
27 12 -3.85617 -3.37316
27 13 -3.85617 -3.37316
27 14 -3.85617 -3.37316
28 0 -3.13418 2.36741
28 1 -3.13652 3.23734
28 2 -3.13652 3.23734
28 3 -3.07708 3.06776
28 4 -3.00385 3.11738
28 5 -2.87559 3.21963
28 6 -2.88194 3.20849
28 7 -2.88766 3.17143
28 8 -2.83754 3.13682
28 9 -2.81005 3.12834
28 10 -2.80489 3.12974
28 11 -2.80501 3.13089
28 12 -2.80515 3.13131
28 13 -2.80511 3.13131
28 14 -2.80512 3.13131
29 0 -1.44201 2.82119
29 1 -2.87825 2.74979
29 2 -2.86056 3.06798
29 3 -2.80603 3.10686
29 4 -2.79399 3.12189
29 5 -2.79325 3.12362
29 6 -2.79581 3.12808
29 7 -2.80576 3.13082
29 8 -2.80509 3.13111
29 9 -2.80506 3.13123
29 10 -2.80508 3.13131
29 11 -2.80512 3.13131
29 12 -2.80512 3.13131
29 13 -2.80512 3.13131
29 14 -2.80512 3.13131
30 0 3.22255 -1.72419
