OptIndex Step X_0 X_1
15 1 8.64061 13.3086
15 2 10.0762 15.2252
15 3 9.7432 14.9853
15 4 9.51864 14.826
15 5 9.4834 14.8469
15 6 9.07113 15.3595
15 7 8.32659 15.7033
15 8 8.43572 15.6472
15 9 8.45278 15.6423
15 10 8.45278 15.6423
15 11 8.45278 15.6423
15 12 8.45278 15.6423
15 13 8.45278 15.6423
15 14 8.45278 15.6423
16 0 4.77347 0.448452
16 1 10.4608 15.6081
16 2 8.88019 16.2694
16 3 7.87253 16.0438
16 4 8.3393 15.9422
16 5 8.44951 15.8464
16 6 8.33521 15.7555
16 7 8.31567 15.7394
16 8 8.31675 15.7404
16 9 8.31675 15.7404
16 10 8.31675 15.7404
16 11 8.31675 15.7404
16 12 8.31675 15.7404
16 13 8.31675 15.7404
16 14 8.31675 15.7404
17 0 3.04404 5.3647
17 1 7.92244 13.239
17 2 9.7956 15.2569
17 3 9.54097 15.0142
17 4 9.54097 15.0142
17 5 9.54097 15.0142
17 6 9.54097 15.0142
17 7 9.54097 15.0142
17 8 9.54097 15.0142
17 9 9.54097 15.0142
17 10 9.54097 15.0142
17 11 9.54097 15.0142
17 12 9.54097 15.0142
17 13 9.54097 15.0142
17 14 9.54097 15.0142
18 0 3.54787 2.66037
18 1 11.1944 16.9951
18 2 8.85606 15.6159
18 3 8.67991 15.4668
18 4 8.70199 15.4869
18 5 8.70199 15.4869
18 6 8.70199 15.4869
18 7 8.70199 15.4869
18 8 8.70199 15.4869
18 9 8.70199 15.4869
18 10 8.70199 15.4869
18 11 8.70199 15.4869
18 12 8.70199 15.4869
18 13 8.70199 15.4869
18 14 8.70199 15.4869
19 0 -0.585483 6.382
19 1 5.54305 14.1889
19 2 7.76402 16.2372
19 3 7.66275 16.1403
19 4 7.66275 16.1403
19 5 7.66275 16.1403
19 6 7.66275 16.1403
19 7 7.66275 16.1403
19 8 7.66275 16.1403
19 9 7.66275 16.1403
19 10 7.66275 16.1403
19 11 7.66275 16.1403
19 12 7.66275 16.1403
19 13 7.66275 16.1403
19 14 7.66275 16.1403
20 0 -0.0911088 0.449676
20 1 17.0128 16.5097
20 2 13.01 11.37
20 3 13.8458 12.7086
20 4 13.4174 13.371
20 5 9.39176 14.988
20 6 8.91396 15.5128
20 7 8.41296 15.6984
20 8 8.43029 15.6698
20 9 8.469 15.6482
20 10 8.4544 15.653
20 11 8.45581 15.6519
20 12 8.45621 15.6512
20 13 8.45706 15.651
20 14 8.45691 15.651
21 0 3.50566 2.96979
21 1 10.6737 16.1809
21 2 9.21523 15.4575
21 3 8.87384 15.2644
21 4 8.84778 15.3174
21 5 8.47444 15.6382
21 6 8.46005 15.6506
21 7 8.45779 15.6511
21 8 8.45686 15.6511
21 9 8.45697 15.651
21 10 8.45688 15.651
21 11 8.45687 15.651
21 12 8.45687 15.651
21 13 8.45687 15.6509
21 14 8.45691 15.6509
22 0 -0.0160055 5.04953
22 1 7.36774 14.6512
22 2 8.56252 15.7313
22 3 8.47352 15.6416
22 4 8.47314 15.6412
22 5 8.47314 15.6412
22 6 8.47314 15.6412
22 7 8.47314 15.6412
22 8 8.47314 15.6412
22 9 8.47314 15.6412
22 10 8.47314 15.6412
22 11 8.47314 15.6412
22 12 8.47314 15.6412
22 13 8.47314 15.6412
22 14 8.47314 15.6412
23 0 -0.0105719 7.72663
23 1 9.32221 19.7665
23 2 6.34406 16.6875
23 3 6.44332 16.7785
23 4 6.44332 16.7785
23 5 6.44332 16.7785
23 6 6.44332 16.7785
23 7 6.44332 16.7785
23 8 6.44332 16.7785
23 9 6.44332 16.7785
23 10 6.44332 16.7785
23 11 6.44332 16.7785
23 12 6.44332 16.7785
